Services,Churn Rate (%),Value
Device Protection Plan,7.40%,""
Device Protection Plan,39.13%,No
Device Protection Plan,22.50%,Yes
Online Backup,7.40%,""
Online Backup,39.93%,No
Online Backup,21.53%,Yes
Online Security,7.40%,""
Online Security,41.77%,No
Online Security,14.61%,Yes
Premium Tech Support,7.40%,""
Premium Tech Support,41.64%,No
Premium Tech Support,15.17%,Yes
Streaming Movies,7.40%,""
Streaming Movies,33.68%,No
Streaming Movies,29.94%,Yes
Streaming Music,7.40%,""
Streaming Music,33.94%,No
Streaming Music,29.26%,Yes
Streaming TV,7.40%,""
Streaming TV,33.52%,No
Streaming TV,30.07%,Yes
Unlimited Data,7.40%,""
Unlimited Data,32.90%,No
Unlimited Data,31.65%,Yes
